schema,object,kind,domain,classification,operations,runtime_files,support_files,estimated_rows,seq_scans,index_scans
public,active_track_boosts,table,Boosters,utilise par le runtime,DELETE | INSERT | SELECT | UPDATE,app/api/boosters/active/route.ts | app/api/boosters/my-active/route.ts | app/api/boosters/use/route.ts | app/api/city/events/[id]/claim/route.ts | app/api/city/route.ts | app/api/notifications/boost/route.ts | app/api/tracks/most-liked/route.ts | lib/recommendation/candidates.ts,,36,139,0
public,admin_broadcasts,table,notifications,utilise par le runtime,INSERT | REFERENCE | SELECT,app/api/admin/notifications/route.ts | app/api/notifications/setup/route.ts | lib/notifications.ts,,3,4,0
public,ai_credit_balances,table,IA,utilise par le runtime,SELECT,app/api/ai/credits/route.ts | app/api/ai/quota/route.ts | app/api/daily-spin/route.ts | app/api/suno/generate-music-video/route.ts | app/api/suno/generate/route.ts | app/api/suno/upload-cover/route.ts,,32,9,0
public,ai_generations,table,IA,utilise par le runtime,DELETE | INSERT | REFERENCE | SELECT | UPDATE,app/api/account/delete/route.ts | app/api/ai/generate/route.ts | app/api/ai/generations/[id]/trash/route.ts | app/api/ai/generations/[id]/visibility/route.ts | app/api/ai/library/route.ts | app/api/ai/library/tracks/route.ts | app/api/ai/quota/route.ts | app/api/ai/status-simple/[taskId]/route.ts | app/api/ai/status/[taskId]/route.ts | app/api/ai/upload-source/route.ts | app/api/ai/webhook/route.ts | app/api/music-clips/sources/route.ts | app/api/remixes/[id]/decision/route.ts | app/api/remixes/pending/route.ts | app/api/suno/generate/route.ts | app/api/suno/repair-tracks/route.ts | app/api/suno/save-tracks/route.ts | app/api/suno/status/route.ts | app/api/suno/timestamped-lyrics/route.ts | app/api/suno/upload-cover/route.ts | lib/aiGenerationService.ts | lib/publicTracks.ts | lib/remixServer.ts,scripts/check_db_structure.js | scripts/check_remaining_data.js | scripts/create-ai-generations-simple.js | scripts/delete_test_user.js | scripts/fix_schema.js | scripts/reset_ai_quota_and_generations.js | scripts/run-ai-complete-migration.js | scripts/run-ai-migration.js | scripts/test-ai-system.js | scripts/test_db_simple.js,121,776,2323
public,ai_playlist_tracks,table,IA,utilise par le runtime,INSERT,lib/aiGenerationService.ts,,-1,4,0
public,ai_playlists,table,IA,utilise par le runtime,INSERT | REFERENCE | SELECT,lib/aiGenerationService.ts,scripts/run-ai-complete-migration.js,-1,4,0
public,ai_track_likes,table,IA,utilise par le runtime,DELETE | INSERT | SELECT,app/api/ai/library/tracks/route.ts | app/api/ai/tracks/[id]/favorite/route.ts,,11,5,0
public,ai_tracks,table,IA,utilise par le runtime,DELETE | INSERT | REFERENCE | SELECT | UPDATE,app/api/account/delete/route.ts | app/api/ai/generations/[id]/visibility/route.ts | app/api/ai/tags/suggestions/route.ts | app/api/ai/tracks/[id]/favorite/route.ts | app/api/ai/tracks/[id]/route.ts | app/api/ai/tracks/[id]/visibility/route.ts | app/api/ai/upload-source/route.ts | app/api/city/events/[id]/participate/route.ts | app/api/city/events/[id]/resolve/route.ts | app/api/city/route.ts | app/api/discover/moods/route.ts | app/api/music-clips/sources/route.ts | app/api/posts/[id]/route.ts | app/api/posts/route.ts | app/api/remixes/[id]/decision/route.ts | app/api/remixes/pending/route.ts | app/api/remixes/sources/route.ts | app/api/share-card/[id]/route.tsx | app/api/stats/all-tracks/route.ts | app/api/stats/audience/route.ts | app/api/stats/debug/route.ts | app/api/stats/heatmap/route.ts | app/api/stats/overview/route.ts | app/api/stats/timeseries/route.ts | app/api/stats/tracks/route.ts | app/api/suno/generate-music-video/route.ts | app/api/suno/music-video-callback/route.ts | app/api/suno/repair-tracks/route.ts | app/api/suno/timestamped-lyrics/route.ts | app/api/tracks/[id]/plays/route.ts | app/api/tracks/[id]/route.ts | app/api/tracks/[id]/waveform/route.ts | app/api/tracks/route.ts | app/api/users/[username]/route.ts | app/api/users/[username]/variations/route.ts | app/discover/page.tsx | app/posts/[id]/opengraph-image.tsx | app/track/[id]/opengraph-image.tsx | app/track/[id]/page.tsx | lib/aiGenerationService.ts | lib/musicChallenges.ts | lib/musicClips.ts | lib/publicTracks.ts | lib/recommendation/candidates.ts | lib/recommendation/signals.ts | lib/remixServer.ts,scripts/check_remaining_data.js | scripts/run-ai-complete-migration.js | scripts/transfer_uploads_and_delete_user.js,215,266,1240
public,ai_usage_stats,table,IA,probablement utilise,REFERENCE,,scripts/run-ai-complete-migration.js,55,4,0
public,boosters,table,Boosters,utilise par le runtime,INSERT | REFERENCE | SELECT,app/api/boosters/claim-pack/route.ts | app/api/boosters/open/route.ts | app/api/city/events/[id]/claim/route.ts | app/api/daily-spin/route.ts | app/api/missions/claim-many/route.ts | app/api/missions/claim/route.ts | app/boosters/BoostersClient.tsx,,7,5,0
public,challenge_entries,table,transverse/infrastructure,utilise par le runtime,SELECT | UPSERT,lib/musicChallenges.ts,,-1,4,9
public,city_event_participations,table,City,utilise par le runtime,SELECT | UPSERT,app/api/city/events/[id]/participate/route.ts | app/api/city/events/[id]/resolve/route.ts | app/api/city/events/[id]/route.ts | app/api/city/route.ts,,2,8,0
public,city_event_tracks,table,City,utilise par le runtime,SELECT | UPSERT,app/api/city/events/[id]/participate/route.ts | app/api/city/events/[id]/resolve/route.ts | app/api/city/events/[id]/route.ts | app/api/city/route.ts | app/api/city/vote/route.ts,,490,4,48
public,city_event_votes,table,City,utilise par le runtime,SELECT | UPSERT,app/api/city/events/[id]/claim/route.ts | app/api/city/events/[id]/resolve/route.ts | app/api/city/events/[id]/route.ts | app/api/city/route.ts | app/api/city/vote/route.ts,,6,8,0
public,city_event_winners,table,City,utilise par le runtime,SELECT | UPSERT,app/api/city/events/[id]/resolve/route.ts | app/api/city/events/[id]/route.ts | app/api/city/route.ts,,3,8,0
public,city_events,table,City,utilise par le runtime,SELECT | UPDATE | UPSERT,app/api/city/events/[id]/claim/route.ts | app/api/city/events/[id]/participate/route.ts | app/api/city/events/[id]/resolve/route.ts | app/api/city/events/[id]/route.ts | app/api/city/route.ts | app/api/city/vote/route.ts,,156,4,29
public,city_user_rewards,table,City,utilise par le runtime,SELECT | UPDATE | UPSERT,app/api/city/events/[id]/claim/route.ts | app/api/city/events/[id]/resolve/route.ts | app/api/city/events/[id]/route.ts | app/api/city/route.ts,,3,8,0
public,comment_likes,table,commentaires/reactions,utilise par le runtime,DELETE | INSERT | REFERENCE | SELECT,app/api/account/delete/route.ts | app/api/tracks/[id]/comments/[commentId]/like/route.ts | app/api/tracks/[id]/comments/moderation/route.ts | app/api/tracks/[id]/comments/route.ts,,-1,4,0
public,comment_moderation,table,commentaires/reactions,utilise par le runtime,DELETE | SELECT | UPSERT,app/api/account/delete/route.ts | app/api/tracks/[id]/comments/[commentId]/moderation/route.ts | app/api/tracks/[id]/comments/[commentId]/route.ts | app/api/tracks/[id]/comments/moderation/route.ts,,3,4,0
public,comment_reactions,table,commentaires/reactions,utilise par le runtime,REFERENCE,app/api/account/delete/route.ts,,-1,4,0
public,comments,table,commentaires/reactions,utilise par le runtime,DELETE | INSERT | REFERENCE | SELECT | UPDATE,app/api/account/delete/route.ts | app/api/city/route.ts | app/api/stats/community/route.ts | app/api/tracks/[id]/comments/[commentId]/replies/route.ts | app/api/tracks/[id]/comments/[commentId]/route.ts | app/api/tracks/[id]/comments/moderation/route.ts | app/api/tracks/[id]/comments/route.ts | app/api/tracks/comments-count/route.ts | app/meteo/bulletin/[id]/page.tsx | app/stats/page.tsx | components/InteractiveCounter.tsx | hooks/useSubscription.ts | lib/musicClipInteractionStore.ts | lib/recommendation/candidates.ts | lib/subscriptionService.ts,scripts/check-migration-setup.js | scripts/check_remaining_data.js | scripts/compare-migration-status.js | scripts/debug-mongo-structure.js | scripts/delete_test_user.js | scripts/fix-comments-user-ids.js | scripts/fix-migration-final.js | scripts/migrate-all-data-fixed.js | scripts/migrate-complete-100.js | scripts/migrate-complete-final.js | scripts/migrate-data-only.js | scripts/migrate-to-supabase.js | scripts/test-comments.js | scripts/test-supabase-connection.js,14,41,0
public,conversation_participants,table,messaging,utilise par le runtime,DELETE | INSERT | SELECT | UPDATE | UPSERT,app/api/account/delete/route.ts | app/api/messages/[conversationId]/participants/route.ts | app/api/messages/[conversationId]/route.ts | app/api/messages/[conversationId]/seen/route.ts | app/api/messages/blocks/route.ts | app/api/messages/contacts/route.ts | app/api/messages/conversations/route.ts | app/api/messages/realtime/route.ts | app/api/messages/unread/route.ts | lib/messaging.ts,scripts/check-supabase-messaging.js | scripts/check-table-structure.js | scripts/clean-and-rebuild-messaging.js | scripts/migrate-messaging-to-supabase.js,7,885,0
public,conversation_realtime_events,table,messaging,utilise par le runtime,INSERT | SELECT,app/api/messages/realtime/route.ts,,4,4,0
public,conversation_rooms,table,messaging,utilise par le runtime,DELETE | INSERT | SELECT | UPDATE,app/api/messages/[conversationId]/rooms/[roomId]/route.ts | app/api/messages/[conversationId]/rooms/route.ts | app/api/messages/[conversationId]/route.ts | app/api/messages/conversations/route.ts,,2,5,0
public,conversations,table,messaging,utilise par le runtime,DELETE | INSERT | REFERENCE | SELECT | UPDATE,app/api/messages/[conversationId]/participants/route.ts | app/api/messages/[conversationId]/route.ts | app/api/messages/contacts/route.ts | app/api/messages/conversations/route.ts | app/messages/page.tsx | lib/messaging.ts,scripts/check-supabase-messaging.js | scripts/check-table-structure.js | scripts/clean-and-rebuild-messaging.js | scripts/compare-migration-status.js | scripts/fix-users-profiles.js | scripts/migrate-all-data-fixed.js | scripts/migrate-all-data.js | scripts/migrate-complete-final.js | scripts/migrate-messaging-to-supabase.js | scripts/test-follow-system.js | scripts/test-messages-api.js | scripts/test-supabase-connection.js,3,5,0
public,creator_comment_filters,table,commentaires/reactions,utilise par le runtime,DELETE | INSERT | SELECT,app/api/account/delete/route.ts | app/api/creator/filters/route.ts | app/api/tracks/[id]/comments/moderation/route.ts,,-1,4,0
public,creator_posts,table,Community/posts,utilise par le runtime,DELETE | INSERT | SELECT | UPDATE,app/api/account/delete/route.ts | app/api/posts/[id]/comments/route.ts | app/api/posts/[id]/like/route.ts | app/api/posts/[id]/route.ts | app/api/posts/route.ts | app/api/recommendations/feed/route.ts | app/api/recommendations/mixed/route.ts | app/api/search/route.ts | app/api/stats/posts/route.ts | app/posts/[id]/opengraph-image.tsx | lib/recommendation/signals.ts,,12,50,0
public,credit_ledger,table,IA,probablement utilise,,,,92,4,0
public,editorial_collections,table,transverse/infrastructure,utilise par le runtime,INSERT | REFERENCE | SELECT | UPDATE,app/api/admin/editorial-collections/[id]/route.ts | app/api/admin/editorial-collections/[id]/tracks/route.ts | app/api/admin/editorial-collections/migrate/route.ts | app/api/admin/editorial-collections/route.ts | app/api/playlists/popular/route.ts | app/api/tracks/similar/route.ts | lib/editorialCollections.ts,scripts/repair-admin-migration-gaps.js | scripts/run-editorial-collections-migration.js,-1,5,8
public,faq_items,table,Community/posts,utilise par le runtime,INSERT | SELECT | UPDATE,app/api/community/faq/route.ts,scripts/add_lyrics_faqs.js | scripts/check_and_create_faqs.js | scripts/check_community_tables.js | scripts/create_additional_faqs.js | scripts/create_final_faqs.js | scripts/create_hundred_faqs.js | scripts/update_faq_popularity.js,108,4,0
public,faq_votes,table,Community/posts,probablement utilise,,,,-1,4,0
public,follow_requests,table,follows,utilise par le runtime,REFERENCE,app/api/account/delete/route.ts,,-1,4,0
public,forum_post_likes,table,Community/posts,utilise par le runtime,DELETE | INSERT | SELECT,app/api/community/posts/likes/route.ts | app/api/community/posts/route.ts,scripts/check_community_tables.js | scripts/test_post_counters.js,2,4,0
public,forum_posts,table,Community/posts,utilise par le runtime,DELETE | INSERT | SELECT | UPDATE,app/api/community/clubs/route.ts | app/api/community/posts/[id]/route.ts | app/api/community/posts/likes/route.ts | app/api/community/posts/replies/route.ts | app/api/community/posts/route.ts | app/api/community/stats/route.ts | lib/communityPosts.ts,scripts/check_community_tables.js | scripts/create_active_members_function.js | scripts/test_post_counters.js,10,4,0
public,forum_replies,table,Community/posts,utilise par le runtime,INSERT | SELECT,app/api/community/posts/[id]/route.ts | app/api/community/posts/replies/route.ts,scripts/check_community_tables.js | scripts/check_profiles_table.js | scripts/create_active_members_function.js | scripts/test_post_counters.js | scripts/test_replies_api.js,8,4,0
public,forum_reply_likes,table,Community/posts,probablement utilise,,,,-1,4,0
public,friendships,table,messaging,utilise par le runtime,DELETE | SELECT | UPSERT,app/api/messages/contacts/route.ts | app/api/messages/conversations/route.ts | lib/messaging.ts,,2,5,0
public,message_attachments,table,messaging,utilise par le runtime,INSERT | SELECT,app/api/account/delete/route.ts | app/api/messages/[conversationId]/[messageId]/route.ts | app/api/messages/[conversationId]/route.ts,,-1,5,0
public,message_hidden_users,table,messaging,utilise par le runtime,SELECT | UNKNOWN | UPSERT,app/api/messages/[conversationId]/[messageId]/route.ts | app/api/messages/[conversationId]/route.ts,,-1,4,1
public,message_pins,table,messaging,utilise par le runtime,DELETE | SELECT | UPSERT,app/api/messages/[conversationId]/[messageId]/route.ts | app/api/messages/[conversationId]/route.ts,,-1,4,1
public,message_reactions,table,messaging,utilise par le runtime,DELETE | SELECT | UPSERT,app/api/messages/[conversationId]/[messageId]/reactions/route.ts | app/api/messages/[conversationId]/route.ts,,2,5,0
public,message_requests,table,messaging,utilise par le runtime,INSERT | SELECT | UPDATE,app/api/messages/accept/[requestId]/route.ts | app/api/messages/blocks/route.ts | app/api/messages/requests/[id]/route.ts | app/api/messages/requests/route.ts | app/api/messages/requests/status/route.ts | app/api/messages/unread/route.ts | lib/messaging.ts,,2,882,0
public,messages,table,messaging,utilise par le runtime,DELETE | INSERT | REFERENCE | SELECT | UPDATE | UPSERT,app/api/account/delete/route.ts | app/api/messages/[conversationId]/[messageId]/reactions/route.ts | app/api/messages/[conversationId]/[messageId]/route.ts | app/api/messages/[conversationId]/rooms/[roomId]/route.ts | app/api/messages/[conversationId]/route.ts | app/api/messages/[conversationId]/seen/route.ts | app/api/messages/conversations/route.ts | app/api/messages/unread/route.ts | lib/messaging.ts,scripts/check-supabase-messaging.js | scripts/check-table-structure.js | scripts/check_remaining_data.js | scripts/clean-and-rebuild-messaging.js | scripts/compare-migration-status.js | scripts/fix-migration-final.js | scripts/fix-users-profiles.js | scripts/migrate-all-data-fixed.js | scripts/migrate-all-data.js | scripts/migrate-complete-100.js | scripts/migrate-complete-final.js | scripts/migrate-messaging-to-supabase.js | scripts/migrate-to-supabase.js | scripts/test-follow-system.js | scripts/test-messages-api.js | scripts/test-supabase-connection.js,24,883,0
public,meteo_alerts,table,Meteo,utilise par le runtime,INSERT | SELECT | UPDATE,app/api/meteo/alerts/[id]/route.ts | app/api/meteo/alerts/active/route.ts | app/api/meteo/alerts/route.ts,,-1,4,0
public,meteo_bulletins,table,Meteo,utilise par le runtime,INSERT | SELECT | UPDATE,app/api/meteo/bulletin/[id]/route.ts | app/api/meteo/bulletin/[id]/share/route.ts | app/api/meteo/bulletin/publish-scheduled/route.ts | app/api/meteo/bulletin/restore/route.ts | app/api/meteo/bulletin/route.ts | app/api/meteo/bulletin/status/route.ts | app/api/meteo/bulletins/route.ts | app/api/meteo/comments/route.ts | app/api/meteo/public/route.ts | app/api/meteo/stats/route.ts,scripts/create-meteo-tables.js,7,4,0
public,meteo_comments,table,commentaires/reactions,utilise par le runtime,DELETE | INSERT | SELECT | UPDATE,app/api/meteo/comments/[id]/route.ts | app/api/meteo/comments/route.ts,,-1,4,0
public,meteo_reactions,table,commentaires/reactions,utilise par le runtime,DELETE | INSERT | SELECT | UPSERT,app/api/meteo/bulletin/[id]/share/route.ts | app/api/meteo/reactions/route.ts,,1,4,0
public,meteo_settings,table,Meteo,utilise par le runtime,SELECT | UPSERT,app/api/meteo/settings/route.ts,,2,4,0
public,meteo_team_members,table,Meteo,utilise par le runtime,DELETE | INSERT | SELECT | UPDATE,app/api/meteo/alerts/[id]/route.ts | app/api/meteo/alerts/route.ts | app/api/meteo/bulletin/[id]/route.ts | app/api/meteo/bulletin/route.ts | app/api/meteo/comments/[id]/route.ts | app/api/meteo/send-presentation/route.ts | app/api/meteo/settings/route.ts | app/api/meteo/stats/route.ts | app/api/meteo/team/route.ts | app/meteo/dashboard/page.tsx,,2,4,0
public,meteo_views,table,Meteo,utilise par le runtime,INSERT | SELECT,app/api/meteo/public/route.ts | app/api/meteo/stats/route.ts,,2857,4,0
public,missions,table,transverse/infrastructure,utilise par le runtime,REFERENCE | SELECT,app/api/missions/claim-many/route.ts | app/api/missions/claim/route.ts | app/api/missions/route.ts | app/boosters/BoostersClient.tsx | lib/missions/progress.ts,,8,4,0
public,music_challenges,table,tracks,utilise par le runtime,DELETE | INSERT | SELECT | UPDATE,app/api/admin/challenges/[id]/route.ts | app/api/admin/challenges/route.ts | lib/musicChallenges.ts,,3,7,0
public,music_clips,table,clips,utilise par le runtime,DELETE | INSERT | SELECT | UPDATE,app/api/account/delete/route.ts | app/api/music-clips/[id]/comments/[commentId]/route.ts | app/api/music-clips/[id]/comments/route.ts | app/api/music-clips/[id]/like/route.ts | app/api/music-clips/[id]/route.ts | app/api/music-clips/route.ts | app/clips/[id]/clipData.ts | lib/musicChallenges.ts | lib/musicClips.ts,,5,7,0
public,notification_preferences,table,notifications,utilise par le runtime,REFERENCE | SELECT | UPSERT,app/api/notifications/preferences/route.ts | app/api/notifications/setup/route.ts | lib/notifications.ts,,4,4,0
public,notifications,table,notifications,utilise par le runtime,DELETE | INSERT | REFERENCE | SELECT | UPDATE,app/api/account/delete/route.ts | app/api/admin/notifications/route.ts | app/api/notifications/route.ts | app/api/notifications/setup/route.ts | lib/notifications.ts,scripts/check_remaining_data.js | scripts/create_hundred_faqs.js | scripts/delete_test_user.js,198,18,0
public,password_resets,table,auth,utilise par le runtime,INSERT | SELECT | UPDATE,app/api/auth/forgot-password/route.ts | app/api/auth/reset-password/route.ts,,21,4,0
public,payments,table,abonnements,utilise par le runtime,INSERT | REFERENCE | SELECT | UPDATE,app/api/account/delete/route.ts,scripts/compare-migration-status.js | scripts/migrate-all-data-fixed.js | scripts/migrate-all-data.js,-1,4,0
public,play_stats,table,statistiques,utilise par le runtime,DELETE,app/api/account/delete/route.ts,,-1,4,0
public,playlist_tracks,table,playlists,utilise par le runtime,DELETE | INSERT | REFERENCE | SELECT | UPDATE,app/api/admin/editorial-collections/[id]/tracks/route.ts | app/api/admin/editorial-collections/route.ts | app/api/admin/migrate-albums/route.ts | app/api/playlists/[id]/reorder/route.ts | app/api/playlists/[id]/route.ts | app/api/playlists/[id]/tracks/route.ts | app/api/tracks/similar/route.ts | app/playlists/[id]/opengraph-image.tsx | lib/publicTracks.ts | lib/recommendation/candidates.ts,scripts/test-supabase-connection.js,132,31,0
public,playlists,table,playlists,utilise par le runtime,DELETE | INSERT | REFERENCE | SELECT | UPDATE,app/api/account/delete/route.ts | app/api/admin/editorial-collections/[id]/route.ts | app/api/admin/editorial-collections/[id]/tracks/route.ts | app/api/admin/editorial-collections/route.ts | app/api/admin/migrate-albums/route.ts | app/api/playlists/[id]/reorder/route.ts | app/api/playlists/[id]/route.ts | app/api/playlists/[id]/tracks/route.ts | app/api/playlists/albums/route.ts | app/api/playlists/popular/route.ts | app/api/playlists/route.ts | app/api/search/route.ts | app/api/stats/community/route.ts | app/api/subscriptions/usage/route.ts | app/api/tracks/similar/route.ts | app/api/users/[username]/route.ts | app/library/LibraryClient.tsx | app/playlists/[id]/head.tsx | app/playlists/[id]/opengraph-image.tsx | app/profile/[username]/page.tsx | app/search/page.tsx | components/SubscriptionLimits.tsx | components/SubscriptionPlans.tsx | components/home/SynauraWarmFeed.tsx | hooks/useSubscription.ts | lib/editorialCollections.ts | lib/subscriptionService.ts,scripts/check-migration-setup.js | scripts/check-playlists-table.js | scripts/check_remaining_data.js | scripts/compare-migration-status.js | scripts/debug-mongo-structure.js | scripts/delete_test_user.js | scripts/migrate-data-only.js | scripts/migrate-to-supabase.js | scripts/repair-admin-migration-gaps.js | scripts/test-supabase-connection.js | scripts/transfer_uploads_and_delete_user.js,7,269,0
public,post_comments,table,commentaires/reactions,utilise par le runtime,DELETE | INSERT | SELECT,app/api/posts/[id]/comments/route.ts | app/api/stats/posts/route.ts | lib/recommendation/signals.ts,,3,40,0
public,post_likes,table,Community/posts,utilise par le runtime,DELETE | INSERT | SELECT,app/api/posts/[id]/like/route.ts | app/api/posts/[id]/route.ts | app/api/posts/route.ts | app/api/recommendations/feed/route.ts | app/api/recommendations/mixed/route.ts | app/api/stats/posts/route.ts | lib/recommendation/signals.ts,,16,50,0
