schema_name,table_name,trigger_name,enabled_mode,function_schema,function_name,definition
public,follow_requests,update_follow_requests_updated_at,O,public,update_updated_at_column,CREATE TRIGGER update_follow_requests_updated_at BEFORE UPDATE ON follow_requests FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
public,forum_post_likes,trigger_update_post_likes_count,O,public,update_forum_post_likes_count,CREATE TRIGGER trigger_update_post_likes_count AFTER INSERT OR DELETE ON forum_post_likes FOR EACH ROW EXECUTE FUNCTION update_forum_post_likes_count()
public,forum_replies,trigger_update_post_replies_count,O,public,update_forum_post_replies_count,CREATE TRIGGER trigger_update_post_replies_count AFTER INSERT OR DELETE ON forum_replies FOR EACH ROW EXECUTE FUNCTION update_forum_post_replies_count()
public,forum_reply_likes,trigger_update_reply_likes_count,O,public,update_forum_reply_likes_count,CREATE TRIGGER trigger_update_reply_likes_count AFTER INSERT OR DELETE ON forum_reply_likes FOR EACH ROW EXECUTE FUNCTION update_forum_reply_likes_count()
public,message_attachments,synaura_sync_attachment_conversation,O,public,synaura_sync_message_relation,CREATE TRIGGER synaura_sync_attachment_conversation BEFORE INSERT OR UPDATE OF message_id ON message_attachments FOR EACH ROW EXECUTE FUNCTION synaura_sync_message_relation()
public,message_reactions,synaura_sync_reaction_conversation,O,public,synaura_sync_message_relation,CREATE TRIGGER synaura_sync_reaction_conversation BEFORE INSERT OR UPDATE OF message_id ON message_reactions FOR EACH ROW EXECUTE FUNCTION synaura_sync_message_relation()
public,messages,synaura_touch_conversation_after_message,O,public,synaura_touch_conversation,CREATE TRIGGER synaura_touch_conversation_after_message AFTER INSERT ON messages FOR EACH ROW EXECUTE FUNCTION synaura_touch_conversation()
public,messages,update_messages_updated_at,O,public,update_updated_at_column,CREATE TRIGGER update_messages_updated_at BEFORE UPDATE ON messages FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
public,meteo_bulletins,meteo_bulletins_updated_at,O,public,update_meteo_bulletins_updated_at,CREATE TRIGGER meteo_bulletins_updated_at BEFORE UPDATE ON meteo_bulletins FOR EACH ROW EXECUTE FUNCTION update_meteo_bulletins_updated_at()
public,music_challenges,trg_music_challenges_updated_at,O,public,update_music_challenges_updated_at,CREATE TRIGGER trg_music_challenges_updated_at BEFORE UPDATE ON music_challenges FOR EACH ROW EXECUTE FUNCTION update_music_challenges_updated_at()
public,music_clips,music_clips_touch_updated_at,O,public,touch_music_clips_updated_at,CREATE TRIGGER music_clips_touch_updated_at BEFORE UPDATE ON music_clips FOR EACH ROW EXECUTE FUNCTION touch_music_clips_updated_at()
public,playlists,update_playlists_updated_at,O,public,update_updated_at_column,CREATE TRIGGER update_playlists_updated_at BEFORE UPDATE ON playlists FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
public,profiles,move_profile_email_to_private,O,public,move_profile_email_to_private,CREATE TRIGGER move_profile_email_to_private BEFORE INSERT OR UPDATE OF email ON profiles FOR EACH ROW EXECUTE FUNCTION move_profile_email_to_private()
public,profiles,trg_ai_welcome_credits,O,public,ai_grant_welcome_credits,CREATE TRIGGER trg_ai_welcome_credits AFTER INSERT ON profiles FOR EACH ROW EXECUTE FUNCTION ai_grant_welcome_credits()
public,profiles,trg_auto_referral_code,O,public,auto_generate_referral_code,CREATE TRIGGER trg_auto_referral_code BEFORE INSERT ON profiles FOR EACH ROW EXECUTE FUNCTION auto_generate_referral_code()
public,profiles,update_profiles_updated_at,O,public,update_updated_at_column,CREATE TRIGGER update_profiles_updated_at BEFORE UPDATE ON profiles FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
public,star_academy_applications,trg_sa_updated_at,O,public,update_sa_updated_at,CREATE TRIGGER trg_sa_updated_at BEFORE UPDATE ON star_academy_applications FOR EACH ROW EXECUTE FUNCTION update_sa_updated_at()
public,star_academy_staff_applications,trg_sa_staff_updated_at,O,public,update_sa_staff_updated_at,CREATE TRIGGER trg_sa_staff_updated_at BEFORE UPDATE ON star_academy_staff_applications FOR EACH ROW EXECUTE FUNCTION update_sa_staff_updated_at()
public,subscriptions,update_subscriptions_updated_at,O,public,update_updated_at_column,CREATE TRIGGER update_subscriptions_updated_at BEFORE UPDATE ON subscriptions FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
public,track_likes,track_likes_after_delete,O,public,trg_track_likes_after_delete,CREATE TRIGGER track_likes_after_delete AFTER DELETE ON track_likes FOR EACH ROW EXECUTE FUNCTION trg_track_likes_after_delete()
public,track_likes,track_likes_after_insert,O,public,trg_track_likes_after_insert,CREATE TRIGGER track_likes_after_insert AFTER INSERT ON track_likes FOR EACH ROW EXECUTE FUNCTION trg_track_likes_after_insert()
public,track_likes,trigger_update_track_likes_count,O,public,update_track_likes_count,CREATE TRIGGER trigger_update_track_likes_count AFTER INSERT OR DELETE ON track_likes FOR EACH ROW EXECUTE FUNCTION update_track_likes_count()
public,track_views,track_views_after_insert,O,public,trg_track_views_after_insert,CREATE TRIGGER track_views_after_insert AFTER INSERT ON track_views FOR EACH ROW EXECUTE FUNCTION trg_track_views_after_insert()
public,track_views,trigger_update_track_views_count,O,public,update_track_views_count,CREATE TRIGGER trigger_update_track_views_count AFTER INSERT ON track_views FOR EACH ROW EXECUTE FUNCTION update_track_views_count()
public,tracks,update_tracks_updated_at,O,public,update_updated_at_column,CREATE TRIGGER update_tracks_updated_at BEFORE UPDATE ON tracks FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
public,user_follows,trigger_follow_delete,O,public,trigger_update_follow_counts,CREATE TRIGGER trigger_follow_delete AFTER DELETE ON user_follows FOR EACH ROW EXECUTE FUNCTION trigger_update_follow_counts()
public,user_follows,trigger_follow_insert,O,public,trigger_update_follow_counts,CREATE TRIGGER trigger_follow_insert AFTER INSERT ON user_follows FOR EACH ROW EXECUTE FUNCTION trigger_update_follow_counts()
realtime,subscription,tr_check_filters,O,realtime,subscription_check_filters,CREATE TRIGGER tr_check_filters BEFORE INSERT OR UPDATE ON realtime.subscription FOR EACH ROW EXECUTE FUNCTION realtime.subscription_check_filters()
storage,buckets,enforce_bucket_name_length_trigger,O,storage,enforce_bucket_name_length,CREATE TRIGGER enforce_bucket_name_length_trigger BEFORE INSERT OR UPDATE OF name ON storage.buckets FOR EACH ROW EXECUTE FUNCTION storage.enforce_bucket_name_length()
storage,buckets,protect_buckets_delete,O,storage,protect_delete,CREATE TRIGGER protect_buckets_delete BEFORE DELETE ON storage.buckets FOR EACH STATEMENT EXECUTE FUNCTION storage.protect_delete()
storage,objects,protect_objects_delete,O,storage,protect_delete,CREATE TRIGGER protect_objects_delete BEFORE DELETE ON storage.objects FOR EACH STATEMENT EXECUTE FUNCTION storage.protect_delete()
storage,objects,update_objects_updated_at,O,storage,update_updated_at_column,CREATE TRIGGER update_objects_updated_at BEFORE UPDATE ON storage.objects FOR EACH ROW EXECUTE FUNCTION storage.update_updated_at_column()
